CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
AR-CO,D6124930,10/28/2016,SQH Residential Investors,SEC Copperleaf Blvd & Radcliff Pkwy,Aurora,South Quincy Residential Developers Inc,8390000,Lnd,0,14.64,0,84,637806,#DIV/0!,99880.95238,13.15448007,0,,,,0,1.0000,Y,Y,Y,2,2,2,SF land,"84 lots finished avg 7,593 Sf per lot."
AR-CO,D6126036,11/1/2016,Southshore Recovery Acquisitions,E/S Southshore Pkwy & Euclid Dr,Aurora,Toll Co II LP,7860000,Lnd,0,26.56,0,113,1156954,#DIV/0!,69557.52212,6.793703741,0,,,,0,1.0000,Y,Y,Y,2,2,2,SF land,"113 lots finished avg 10,000 Sf per lot."
AR-CO,D6125228,10/28/2016,Progress Place Investments LLC,7450 E Progress Pl,Greenwood Village,Leeds West Property Group,3000000,Off,1968,1.96,14300,,85378,209.7902098,#DIV/0!,35.13802215,0,,,,,1.0000,N,Y,Y,3,3,3,ST off,Grease Monkey bought as HQ.
AR-CO,D6126729,11/3/2016,R&R LLC,SWC Arapahoe Rd & Blackhawk st,Centennial,Team Rahal Centennial Inc,2960000,Lnd,0,8.70,0,,378972,#DIV/0!,#DIV/0!,7.810603422,0,,,,,1.0000,N,Y,Y,3,3,3,Bobby Rahal,Plan Bobby Rahal Auto dealership.
AR-CO,D6123278,10/7/2016,Kyung Joo Seo,4615 S Broadway Blvd,Englewood,Sher E Punjab LLC,1230000,Ret,1960,0.18,4745,,7812,259.2202318,#DIV/0!,157.4500768,0,,,,,1.0000,Y,Y,Y,2,2,2,ST ret,Broadway discount Liquor
AR-CO,D6126729,10/26/2016,BRE DDR Cornerstar CO LLC,NEC S Chambers  & Briarwood Cir,Aurora,Second Act Residences LLC,1200000,Lnd,0,4.55,0,,198198,#DIV/0!,#DIV/0!,6.054551509,0,,,,,1.0000,N,Y,Y,3,3,3,MF land,Plan apartment project.
BO-CO,03553882,10/28/2016,Pearl Street Apartment Investors LLC,3100 Pearl St,Boulder,3100 Pearl Owner LLC,136000000,Apt,2014,4.19,273131,319,182516,497.9295649,426332.2884,745.1385191,0,0.0454,6177992,1276000,7453992,0.9400,Y,Y,Y,3,3,3,MT apts,"Top LEEDS gold, TOD project."
DE-CO,2016151419,10/28/2016,Chalk Holdings LLC,10 S Emerson St,Boulder,The Quad LLC,6200000,Apt,1967,1.01,18760,36,43885,330.4904051,172222.2222,141.2783411,0,,,,,,Y,Y,Y,3,3,3,MT apts,Older complex fully updated.
DE-CO,2016137885,9/22/2016,Canwest Investments LLC,3850 Zuni St,Denver,2850 Zuni LLC,3200000,Lnd,0,0.38,0,,16546,#DIV/0!,#DIV/0!,193.4002176,0,,,,,1.0000,N,Y,Y,3,3,3,MF land,CMX-5 site for MF development.
DE-CO,2016141995,10/13/2016,Hainey Family LP,4001 Inca St,Denver,CD-Inca LLC,3000000,Lnd,0,1.01,0,125,43885,#DIV/0!,24000,68.36048764,0,,,,,1.0000,N,Y,Y,3,3,3,MF land,For sale SF with affordable units.
